,Survived,Sex,Age,SibSp,Parch,Fare,1,2,3,C,Q,S
38,0,1,25.0,0,0,9.5,0,0,1,0,0,1
39,0,1,27.0,0,0,56.4958,0,0,1,0,0,1
40,0,1,39.0,0,1,13.4167,0,0,1,1,0,0
41,0,1,27.0,0,0,26.55,1,0,0,0,0,1
42,0,1,41.0,0,0,7.85,0,0,1,0,0,1
43,1,0,30.0,0,0,13.0,0,1,0,0,0,1
44,1,0,45.0,1,0,52.5542,1,0,0,0,0,1
45,0,1,25.0,0,0,7.925,0,0,1,0,0,1
46,0,1,45.0,0,0,29.7,1,0,0,1,0,0
47,0,1,27.0,0,0,7.75,0,0,1,0,1,0
48,1,0,60.0,0,0,76.2917,1,0,0,1,0,0
49,1,0,36.0,0,2,15.9,0,0,1,0,0,1
50,0,1,24.0,1,0,60.0,1,0,0,0,0,1
51,0,1,27.0,0,0,15.0333,0,1,0,1,0,0
52,1,0,20.0,2,1,23.0,0,1,0,0,0,1
53,1,0,28.0,3,2,263.0,1,0,0,0,0,1
54,0,1,27.0,0,0,15.5792,0,1,0,1,0,0
55,0,1,10.0,4,1,29.125,0,0,1,0,1,0
56,0,1,35.0,0,0,7.8958,0,0,1,0,0,1
57,0,1,25.0,0,0,7.65,0,0,1,0,0,1
58,0,1,27.0,1,0,16.1,0,0,1,0,0,1
59,1,0,36.0,0,0,262.375,1,0,0,1,0,0
60,0,1,17.0,0,0,7.8958,0,0,1,0,0,1
61,0,1,32.0,0,0,13.5,0,1,0,0,0,1
62,0,1,18.0,0,0,7.75,0,0,1,0,0,1
63,1,0,22.0,0,0,7.725,0,0,1,0,1,0
64,0,1,13.0,2,2,262.375,1,0,0,1,0,0
65,1,0,27.0,0,0,21.0,0,1,0,0,0,1
66,1,0,18.0,0,0,7.8792,0,0,1,0,1,0
67,0,1,47.0,0,0,42.4,1,0,0,0,0,1
68,0,1,31.0,0,0,28.5375,1,0,0,1,0,0
69,1,0,60.0,1,4,263.0,1,0,0,0,0,1
70,1,0,24.0,0,0,7.75,0,0,1,0,1,0
71,0,1,21.0,0,0,7.8958,0,0,1,0,0,1
72,1,0,29.0,0,0,7.925,0,0,1,0,0,1
73,0,1,28.5,0,0,27.7208,1,0,0,1,0,0
74,1,0,35.0,0,0,211.5,1,0,0,1,0,0
75,0,1,32.5,0,0,211.5,1,0,0,1,0,0
76,0,1,27.0,0,0,8.05,0,0,1,0,0,1
77,1,0,55.0,2,0,25.7,1,0,0,0,0,1
78,0,1,30.0,0,0,13.0,0,1,0,0,0,1
79,1,0,24.0,0,0,7.75,0,0,1,0,1,0
80,0,1,6.0,1,1,15.2458,0,0,1,1,0,0
81,0,1,67.0,1,0,221.7792,1,0,0,0,0,1
82,0,1,49.0,0,0,26.0,1,0,0,0,0,1
83,0,1,27.0,0,0,7.8958,0,0,1,0,0,1
84,0,1,27.0,0,0,10.7083,0,1,0,0,1,0
85,0,1,27.0,1,0,14.4542,0,0,1,1,0,0
86,1,0,27.0,0,0,7.8792,0,0,1,0,1,0
87,1,0,18.0,0,0,8.05,0,0,1,0,0,1
88,1,0,27.0,0,0,7.75,0,0,1,0,1,0
89,0,1,2.0,1,1,23.0,0,1,0,0,0,1
90,1,0,22.0,1,0,13.9,0,0,1,0,0,1
91,0,1,27.0,0,0,7.775,0,0,1,0,0,1
92,1,0,27.0,1,2,52.0,1,0,0,0,0,1
93,0,1,27.0,0,0,8.05,0,0,1,0,0,1
94,0,1,25.0,0,0,26.0,1,0,0,1,0,0
95,0,1,25.0,0,0,7.7958,0,0,1,0,0,1
96,1,0,76.0,1,0,78.85,1,0,0,0,0,1
97,0,1,29.0,0,0,7.925,0,0,1,0,0,1
98,1,0,20.0,0,0,7.8542,0,0,1,0,0,1
99,0,1,33.0,0,0,8.05,0,0,1,0,0,1
100,1,0,43.0,1,0,55.4417,1,0,0,1,0,0
101,0,1,27.0,1,0,26.0,0,1,0,0,0,1
102,0,1,27.0,0,0,7.75,0,0,1,0,1,0
103,0,1,26.0,0,0,7.775,0,0,1,0,0,1
104,1,0,16.0,1,1,8.5167,0,0,1,1,0,0
105,0,1,28.0,0,0,22.525,0,0,1,0,0,1
106,0,1,21.0,0,0,7.8208,0,0,1,0,1,0
107,0,1,27.0,0,0,7.75,0,0,1,0,1,0
108,0,1,27.0,0,0,8.7125,0,0,1,0,0,1
109,0,1,18.5,0,0,13.0,0,1,0,0,0,1
110,0,1,41.0,0,0,15.0458,0,1,0,1,0,0
111,1,0,27.0,0,0,7.7792,0,0,1,0,1,0
112,1,0,36.0,0,0,31.6792,1,0,0,1,0,0
113,1,0,18.5,0,0,7.2833,0,0,1,0,1,0
114,1,0,63.0,1,0,221.7792,1,0,0,0,0,1
115,0,1,18.0,1,0,14.4542,0,0,1,1,0,0
116,0,1,27.0,0,0,6.4375,0,0,1,1,0,0
117,1,0,1.0,1,1,16.7,0,0,1,0,0,1
118,0,1,36.0,0,0,75.2417,1,0,0,1,0,0
119,1,0,29.0,1,0,26.0,0,1,0,0,0,1
120,1,0,12.0,0,0,15.75,0,1,0,0,0,1
121,0,1,27.0,1,0,7.75,0,0,1,0,1,0
122,1,0,35.0,1,0,57.75,1,0,0,1,0,0
123,0,1,28.0,0,0,7.25,0,0,1,0,0,1
124,0,1,27.0,0,0,7.75,0,0,1,0,1,0
125,1,0,17.0,0,1,16.1,0,0,1,0,0,1
126,0,1,22.0,0,0,7.7958,0,0,1,0,0,1
127,1,0,27.0,2,0,23.25,0,0,1,0,1,0
128,0,1,42.0,0,0,13.0,0,1,0,0,0,1
129,0,1,24.0,0,0,8.05,0,0,1,0,0,1
130,0,1,32.0,0,0,8.05,0,0,1,0,0,1
131,0,1,53.0,0,0,28.5,1,0,0,1,0,0
132,1,0,27.0,0,4,25.4667,0,0,1,0,0,1
133,0,1,27.0,1,0,6.4375,0,0,1,1,0,0
134,0,1,43.0,0,0,7.8958,0,0,1,0,0,1
135,0,1,24.0,0,0,7.8542,0,0,1,0,0,1
136,0,1,26.5,0,0,7.225,0,0,1,1,0,0
137,0,1,26.0,0,0,13.0,0,1,0,0,0,1
138,1,0,23.0,0,0,8.05,0,0,1,0,0,1
139,0,1,40.0,1,6,46.9,0,0,1,0,0,1
140,1,0,10.0,5,2,46.9,0,0,1,0,0,1
141,1,0,33.0,0,0,151.55,1,0,0,0,0,1
142,0,1,61.0,1,3,262.375,1,0,0,1,0,0
143,0,1,28.0,0,0,26.0,0,1,0,0,0,1
144,0,1,42.0,0,0,26.55,1,0,0,0,0,1
145,0,1,31.0,3,0,18.0,0,0,1,0,0,1
146,0,1,27.0,0,0,51.8625,1,0,0,0,0,1
147,0,1,22.0,0,0,8.05,0,0,1,0,0,1
148,0,1,27.0,0,0,26.55,1,0,0,0,0,1
149,0,1,30.0,1,1,26.0,0,1,0,0,0,1
150,1,0,23.0,0,1,83.1583,1,0,0,1,0,0
151,0,1,27.0,0,0,7.8958,0,0,1,1,0,0
152,0,1,60.5,0,0,35.6271884892086,0,0,1,0,0,1
153,1,0,36.0,0,2,12.1833,0,0,1,0,0,1
154,0,1,13.0,4,2,31.3875,0,0,1,0,0,1
155,0,1,24.0,0,0,7.55,0,0,1,0,0,1
156,1,0,29.0,0,0,221.7792,1,0,0,0,0,1
157,1,0,23.0,0,0,7.8542,0,0,1,0,0,1
158,0,1,42.0,0,0,26.55,1,0,0,0,0,1
159,1,0,26.0,0,2,13.775,0,0,1,0,0,1
160,1,0,27.0,0,0,7.7333,0,0,1,0,1,0
161,0,1,7.0,1,1,15.2458,0,0,1,1,0,0
162,1,0,26.0,0,0,13.5,0,1,0,0,0,1
163,0,1,27.0,0,0,7.0,0,0,1,0,0,1
164,0,1,41.0,0,0,13.0,0,1,0,0,0,1
165,1,0,26.0,1,1,22.025,0,0,1,0,0,1
166,0,1,48.0,0,0,50.4958,1,0,0,1,0,0
167,0,1,18.0,2,2,34.375,0,0,1,0,0,1
168,1,0,27.0,0,0,27.7208,1,0,0,1,0,0
169,1,0,22.0,0,0,8.9625,0,0,1,0,0,1
170,0,1,27.0,0,0,7.55,0,0,1,0,0,1
171,0,1,27.0,0,0,7.225,0,0,1,1,0,0
172,0,1,23.0,1,0,13.9,0,0,1,0,0,1
173,0,1,27.0,0,0,7.2292,0,0,1,1,0,0
174,0,1,40.0,1,5,31.3875,0,0,1,0,0,1
175,1,0,15.0,0,2,39.0,0,1,0,0,0,1
176,1,0,20.0,0,0,36.75,0,1,0,0,0,1
177,0,1,54.0,1,0,55.4417,1,0,0,1,0,0
178,1,0,36.0,0,3,39.0,0,1,0,0,0,1
179,1,0,64.0,0,2,83.1583,1,0,0,1,0,0
180,0,1,30.0,0,0,13.0,0,1,0,0,0,1
181,0,1,37.0,1,1,83.1583,1,0,0,1,0,0
182,1,0,18.0,1,0,53.1,1,0,0,0,0,1
183,0,1,27.0,0,0,7.75,0,0,1,0,1,0
184,1,0,27.0,1,1,247.5208,1,0,0,1,0,0
185,0,1,40.0,0,0,16.0,0,1,0,0,0,1
186,1,0,21.0,0,1,21.0,0,1,0,0,0,1
187,0,1,17.0,2,0,8.05,0,0,1,0,0,1
188,1,0,27.0,8,2,69.55,0,0,1,0,0,1
189,0,1,40.0,0,0,13.0,0,1,0,0,0,1
190,0,1,34.0,1,0,26.0,0,1,0,0,0,1
191,0,1,27.0,0,0,26.0,1,0,0,0,0,1
192,0,1,11.5,1,1,14.5,0,0,1,0,0,1
193,0,1,61.0,0,0,12.35,0,1,0,0,1,0
194,0,1,8.0,0,2,32.5,0,1,0,0,0,1
195,0,1,33.0,0,0,7.8542,0,0,1,0,0,1
196,0,1,6.0,0,2,134.5,1,0,0,1,0,0
197,1,0,18.0,0,0,7.775,0,0,1,0,0,1
198,0,1,23.0,0,0,10.5,0,1,0,0,0,1
199,1,0,27.0,0,0,8.1125,0,0,1,0,0,1
200,1,0,27.0,0,0,15.5,0,0,1,0,1,0
201,0,1,0.33,0,2,14.4,0,0,1,0,0,1
202,0,1,47.0,1,0,227.525,1,0,0,1,0,0
203,1,0,8.0,1,1,26.0,0,1,0,0,0,1
204,0,1,25.0,0,0,10.5,0,1,0,0,0,1
205,0,1,27.0,0,0,25.7417,1,0,0,1,0,0
206,1,0,35.0,0,0,7.75,0,0,1,0,1,0
207,0,1,24.0,0,0,10.5,0,1,0,0,0,1
208,1,0,33.0,0,0,27.7208,1,0,0,1,0,0
209,0,1,25.0,0,0,7.8958,0,0,1,0,0,1
210,0,1,32.0,0,0,22.525,0,0,1,0,0,1
211,0,1,27.0,0,0,7.05,0,0,1,0,0,1
212,0,1,17.0,0,0,73.5,0,1,0,0,0,1
213,1,0,60.0,1,0,26.0,0,1,0,0,0,1
214,1,0,38.0,4,2,7.775,0,0,1,0,0,1
215,0,1,42.0,0,0,42.5,1,0,0,0,0,1
216,1,0,27.0,0,0,7.8792,0,0,1,0,1,0
217,0,1,57.0,1,1,164.8667,1,0,0,0,0,1
218,1,0,50.0,1,1,211.5,1,0,0,1,0,0
219,0,1,27.0,0,0,8.05,0,0,1,0,0,1
220,1,0,30.0,1,0,13.8583,0,1,0,1,0,0
221,0,1,21.0,0,0,8.05,0,0,1,0,0,1
222,1,0,22.0,0,0,10.5,0,1,0,0,0,1
223,0,1,21.0,0,0,7.7958,0,0,1,0,0,1
224,1,0,53.0,0,0,27.4458,1,0,0,1,0,0
225,1,0,27.0,0,2,15.2458,0,0,1,1,0,0
226,0,1,23.0,0,0,7.7958,0,0,1,0,0,1
227,1,0,27.0,0,0,7.75,0,0,1,0,1,0
228,0,1,40.5,0,0,15.1,0,0,1,0,0,1
229,0,1,36.0,0,0,13.0,0,1,0,0,0,1
230,0,1,14.0,0,0,65.0,0,1,0,0,0,1
231,1,0,21.0,0,0,26.55,1,0,0,0,0,1
232,0,1,21.0,1,0,6.4958,0,0,1,0,0,1
233,0,1,27.0,0,0,7.8792,0,0,1,0,1,0
234,0,1,39.0,1,0,71.2833,1,0,0,1,0,0
235,0,1,20.0,0,0,7.8542,0,0,1,0,0,1
236,0,1,64.0,1,0,75.25,1,0,0,1,0,0
237,0,1,20.0,0,0,7.225,0,0,1,1,0,0
238,1,0,18.0,1,1,13.0,0,1,0,0,0,1
239,1,0,48.0,1,0,106.425,1,0,0,1,0,0
240,1,0,55.0,0,0,27.7208,1,0,0,1,0,0
241,1,0,45.0,0,2,30.0,0,1,0,0,0,1
242,0,1,45.0,1,1,134.5,1,0,0,1,0,0
243,0,1,27.0,0,0,7.8875,0,0,1,0,0,1
244,0,1,27.0,1,2,23.45,0,0,1,0,0,1
245,0,1,41.0,1,0,51.8625,1,0,0,0,0,1
246,1,0,22.0,0,0,21.0,0,1,0,0,0,1
247,0,1,42.0,1,1,32.5,0,1,0,0,0,1
248,1,0,29.0,1,0,26.0,0,1,0,0,0,1
249,1,0,27.0,1,0,14.4542,0,0,1,1,0,0
250,1,0,0.92,1,2,27.75,0,1,0,0,0,1
251,0,1,20.0,0,0,7.925,0,0,1,0,0,1
252,0,1,27.0,1,0,136.7792,1,0,0,1,0,0
253,0,1,24.0,0,0,9.325,0,0,1,0,0,1
254,0,1,32.5,0,0,9.5,0,0,1,0,0,1
255,0,1,27.0,0,0,7.55,0,0,1,0,0,1
256,0,1,27.0,0,0,7.75,0,0,1,0,1,0
257,0,1,28.0,0,0,8.05,0,0,1,0,0,1
258,1,0,19.0,0,0,13.0,0,1,0,0,0,1
259,0,1,21.0,0,0,7.775,0,0,1,0,0,1
260,0,1,36.5,1,0,17.4,0,0,1,0,0,1
261,0,1,21.0,0,0,7.8542,0,0,1,0,0,1
262,1,0,29.0,0,2,23.0,0,1,0,0,0,1
263,1,0,1.0,1,1,12.1833,0,0,1,0,0,1
264,0,1,30.0,0,0,12.7375,0,1,0,1,0,0
265,0,1,27.0,0,0,7.8958,0,0,1,0,0,1
266,0,1,27.0,0,0,0.0,1,0,0,0,0,1
267,0,1,27.0,0,0,7.55,0,0,1,0,0,1
268,1,0,27.0,0,0,8.05,0,0,1,0,0,1
269,0,1,17.0,0,0,8.6625,0,0,1,0,0,1
270,0,1,46.0,0,0,75.2417,1,0,0,1,0,0
271,0,1,27.0,0,0,7.75,0,0,1,0,1,0
272,1,0,26.0,1,0,136.7792,1,0,0,1,0,0
273,1,0,27.0,1,0,15.5,0,0,1,0,1,0
274,0,1,27.0,0,0,7.225,0,0,1,1,0,0
275,1,0,20.0,1,0,26.0,0,1,0,0,0,1
276,0,1,28.0,0,0,10.5,0,1,0,0,0,1
277,0,1,40.0,1,0,26.0,0,1,0,0,0,1
278,0,1,30.0,1,0,21.0,0,1,0,0,0,1
279,0,1,22.0,0,0,10.5,0,1,0,0,0,1
280,1,0,23.0,0,0,8.6625,0,0,1,0,0,1
281,0,1,0.75,1,1,13.775,0,0,1,0,0,1
282,1,0,27.0,0,0,7.75,0,0,1,0,1,0
283,1,0,9.0,1,1,15.2458,0,0,1,1,0,0
284,1,0,2.0,1,1,20.2125,0,0,1,0,0,1
285,0,1,36.0,0,0,7.25,0,0,1,0,0,1
286,0,1,27.0,0,0,7.25,0,0,1,0,0,1
287,0,1,24.0,1,0,82.2667,1,0,0,0,0,1
288,0,1,27.0,0,0,7.2292,0,0,1,1,0,0
289,0,1,27.0,0,0,8.05,0,0,1,0,0,1
290,0,1,27.0,0,0,39.6,1,0,0,0,0,1
291,1,0,30.0,0,0,6.95,0,0,1,0,1,0
292,0,1,27.0,0,0,7.2292,0,0,1,1,0,0
293,0,1,53.0,1,1,81.8583,1,0,0,0,0,1
294,0,1,36.0,0,0,9.5,0,0,1,0,0,1
295,0,1,26.0,0,0,7.8958,0,0,1,0,0,1
296,1,0,1.0,1,2,41.5792,0,1,0,1,0,0
297,0,1,27.0,2,0,21.6792,0,0,1,1,0,0
298,0,1,30.0,0,0,45.5,1,0,0,0,0,1
299,0,1,29.0,0,0,7.8542,0,0,1,0,0,1
300,0,1,32.0,0,0,7.775,0,0,1,0,0,1
301,0,1,27.0,0,0,15.0458,0,1,0,1,0,0
302,0,1,43.0,0,1,21.0,0,1,0,0,0,1
303,0,1,24.0,0,0,8.6625,0,0,1,0,0,1
304,1,0,27.0,0,0,7.75,0,0,1,0,1,0
305,1,0,64.0,1,1,26.55,1,0,0,0,0,1
306,0,1,30.0,1,2,151.55,1,0,0,0,0,1
307,0,1,0.83,0,1,9.35,0,0,1,0,0,1
308,0,1,55.0,1,1,93.5,1,0,0,0,0,1
309,1,0,45.0,1,0,14.1083,0,0,1,0,0,1
310,0,1,18.0,0,0,8.6625,0,0,1,0,0,1
311,0,1,22.0,0,0,7.225,0,0,1,1,0,0
312,0,1,27.0,0,0,7.575,0,0,1,0,0,1
313,1,0,37.0,0,0,7.75,0,0,1,0,1,0
314,1,0,55.0,0,0,135.6333,1,0,0,1,0,0
315,1,0,17.0,0,0,7.7333,0,0,1,0,1,0
316,0,1,57.0,1,0,146.5208,1,0,0,1,0,0
317,0,1,19.0,0,0,10.5,0,1,0,0,0,1
318,0,1,27.0,0,0,7.8542,0,0,1,0,0,1
319,0,1,22.0,2,0,31.5,0,1,0,0,0,1
320,0,1,26.0,0,0,7.775,0,0,1,0,0,1
321,0,1,25.0,0,0,7.2292,0,0,1,1,0,0
322,0,1,26.0,0,0,13.0,0,1,0,0,0,1
323,0,1,33.0,0,0,26.55,1,0,0,0,0,1
324,1,0,39.0,0,0,211.3375,1,0,0,0,0,1
325,0,1,23.0,0,0,7.05,0,0,1,0,0,1
326,1,0,12.0,2,1,39.0,0,1,0,0,0,1
327,0,1,46.0,0,0,79.2,1,0,0,1,0,0
328,0,1,29.0,1,0,26.0,0,1,0,0,0,1
329,0,1,21.0,0,0,13.0,0,1,0,0,0,1
330,1,0,48.0,0,2,36.75,0,1,0,0,0,1
331,0,1,39.0,0,0,29.7,1,0,0,1,0,0
332,0,1,27.0,0,0,7.225,0,0,1,1,0,0
333,1,0,19.0,1,1,15.7417,0,0,1,1,0,0
334,0,1,27.0,0,0,7.8958,0,0,1,0,0,1
335,0,1,30.0,0,0,26.0,1,0,0,0,0,1
336,0,1,32.0,0,0,13.0,0,1,0,0,0,1
337,0,1,39.0,0,2,7.2292,0,0,1,1,0,0
338,0,1,25.0,0,0,31.5,0,1,0,0,0,1
339,0,1,27.0,0,0,7.2292,0,0,1,1,0,0
340,0,1,18.0,0,0,10.5,0,1,0,0,0,1
341,0,1,32.0,0,0,7.5792,0,0,1,0,0,1
342,0,1,27.0,1,9,69.55,0,0,1,0,0,1
343,1,0,58.0,0,1,512.3292,1,0,0,1,0,0
344,0,1,27.0,1,1,14.5,0,0,1,0,0,1
345,1,0,16.0,0,0,7.65,0,0,1,0,0,1
346,0,1,26.0,0,0,13.0,0,1,0,0,0,1
347,1,0,38.0,0,0,7.2292,0,0,1,1,0,0
348,0,1,24.0,0,0,13.5,0,1,0,0,0,1
349,1,0,31.0,0,0,21.0,0,1,0,0,0,1
350,1,0,45.0,0,1,63.3583,1,0,0,1,0,0
351,0,1,25.0,0,0,10.5,0,1,0,0,0,1
352,0,1,18.0,0,0,73.5,0,1,0,0,0,1
353,0,1,49.0,1,2,65.0,0,1,0,0,0,1
354,1,0,0.17,1,2,20.575,0,0,1,0,0,1
355,0,1,50.0,0,0,26.0,1,0,0,0,0,1
356,1,0,59.0,2,0,51.4792,1,0,0,0,0,1
357,0,1,27.0,0,0,7.8792,0,0,1,0,0,1
358,0,1,27.0,0,0,7.75,0,0,1,0,1,0
359,1,0,30.0,1,0,15.55,0,0,1,0,0,1
360,0,1,14.5,8,2,69.55,0,0,1,0,0,1
361,1,0,24.0,1,1,37.0042,0,1,0,1,0,0
362,1,0,31.0,0,0,21.0,0,1,0,0,0,1
363,0,1,27.0,0,0,8.6625,0,0,1,0,0,1
364,1,0,25.0,1,0,55.4417,1,0,0,1,0,0
365,1,0,27.0,1,9,69.55,0,0,1,0,0,1
366,0,1,27.0,1,0,14.4583,0,0,1,1,0,0
367,1,0,22.0,0,0,39.6875,0,0,1,0,0,1
368,1,0,45.0,0,1,59.4,1,0,0,1,0,0
369,0,1,29.0,0,0,13.8583,0,1,0,1,0,0
370,0,1,21.0,1,0,11.5,0,1,0,0,0,1
371,1,0,31.0,0,0,134.5,1,0,0,1,0,0
372,0,1,49.0,0,0,0.0,1,0,0,0,0,1
373,0,1,44.0,0,0,13.0,0,1,0,0,0,1
374,1,0,54.0,1,1,81.8583,1,0,0,0,0,1
375,1,0,45.0,0,0,262.375,1,0,0,1,0,0
376,1,0,22.0,2,0,8.6625,0,0,1,0,0,1
377,0,1,21.0,0,0,11.5,0,1,0,0,0,1
378,0,1,55.0,0,0,50.0,1,0,0,0,0,1
379,0,1,5.0,4,2,31.3875,0,0,1,0,0,1
380,0,1,27.0,0,0,7.75,0,0,1,0,1,0
381,0,1,26.0,0,0,7.8792,0,0,1,0,1,0
382,1,0,27.0,0,0,14.5,0,0,1,0,0,1
383,1,0,19.0,1,0,16.1,0,0,1,0,0,1
384,0,1,27.0,0,0,12.875,0,1,0,0,0,1
385,1,0,24.0,1,2,65.0,0,1,0,0,0,1
386,0,1,24.0,0,0,7.775,0,0,1,0,0,1
387,0,1,57.0,0,0,13.0,0,1,0,0,0,1
388,0,1,21.0,0,0,7.75,0,0,1,0,1,0
389,0,1,6.0,3,1,21.075,0,0,1,0,0,1
390,0,1,23.0,0,0,93.5,1,0,0,0,0,1
391,1,0,51.0,0,1,39.4,1,0,0,0,0,1
392,0,1,13.0,0,2,20.25,0,0,1,0,0,1
393,0,1,47.0,0,0,10.5,0,1,0,0,0,1
394,0,1,29.0,3,1,22.025,0,0,1,0,0,1
395,1,0,18.0,1,0,60.0,1,0,0,0,0,1
396,0,1,24.0,0,0,7.25,0,0,1,0,1,0
397,1,0,48.0,1,1,79.2,1,0,0,1,0,0
398,0,1,22.0,0,0,7.775,0,0,1,0,0,1
399,0,1,31.0,0,0,7.7333,0,0,1,0,1,0
400,1,0,30.0,0,0,164.8667,1,0,0,0,0,1
401,0,1,38.0,1,0,21.0,0,1,0,0,0,1
402,1,0,22.0,0,1,59.4,1,0,0,1,0,0
403,0,1,17.0,0,0,47.1,1,0,0,0,0,1
404,0,1,43.0,1,0,27.7208,1,0,0,1,0,0
405,0,1,20.0,0,0,13.8625,0,1,0,1,0,0
406,0,1,23.0,1,0,10.5,0,1,0,0,0,1
407,0,1,50.0,1,1,211.5,1,0,0,1,0,0
408,1,0,27.0,0,0,7.7208,0,0,1,0,1,0
409,1,0,3.0,1,1,13.775,0,0,1,0,0,1
410,1,0,27.0,0,0,7.75,0,0,1,0,1,0
411,1,0,37.0,1,0,90.0,1,0,0,0,1,0
412,1,0,28.0,0,0,7.775,0,0,1,0,0,1
413,0,1,27.0,0,0,8.05,0,0,1,0,0,1
414,1,0,39.0,0,0,108.9,1,0,0,1,0,0
415,0,1,38.5,0,0,7.25,0,0,1,0,0,1
416,0,1,27.0,0,0,8.05,0,0,1,0,0,1
417,0,1,27.0,1,1,22.3583,0,0,1,1,0,0
